Date,Ticker,Open,High,Low,Close,Volume,Daily Return (%),MA5,MA10
2026-06-25 00:00:00-04:00,NFLX,71.33,72.94,70.86,70.9,44446900,-0.6,73.164,76.478
2026-06-26 00:00:00-04:00,NFLX,71.69,75.2,71.53,73.81,74990300,2.96,72.45,75.732
2026-06-29 00:00:00-04:00,NFLX,74.62,76.07,73.73,73.78,42429600,-1.13,72.63,75.076
2026-06-30 00:00:00-04:00,NFLX,73.59,73.75,71.0,71.4,49240900,-2.98,72.346,74.049
2026-07-01 00:00:00-04:00,NFLX,72.59,74.36,72.33,74.19,43841800,2.2,72.816,73.596
2026-07-02 00:00:00-04:00,NFLX,75.09,78.44,74.91,77.65,55456500,3.41,74.16600000000001,73.66499999999999
2026-07-06 00:00:00-04:00,NFLX,77.08,77.84,75.71,76.02,45056600,-1.38,74.608,73.529
2026-07-07 00:00:00-04:00,NFLX,77.88,78.19,76.1,76.18,33185600,-2.18,75.088,73.85900000000001
2026-06-08 00:00:00-04:00,NKE,43.06,43.86,42.65,43.23,18192000,0.39,,
2026-06-09 00:00:00-04:00,NKE,43.52,45.28,43.27,44.65,21505800,2.6,,
2026-06-10 00:00:00-04:00,NKE,43.77,44.58,43.31,43.96,15335600,0.43,,
2026-06-11 00:00:00-04:00,NKE,44.52,45.98,44.22,45.96,16647500,3.23,,
2026-06-12 00:00:00-04:00,NKE,46.29,46.31,44.85,44.93,16524300,-2.94,44.546,
2026-06-15 00:00:00-04:00,NKE,45.36,46.09,45.09,45.2,14345100,-0.35,44.940000000000005,
2026-06-16 00:00:00-04:00,NKE,45.51,46.1,45.0,45.04,19591400,-1.03,45.018,
2026-06-17 00:00:00-04:00,NKE,44.9,45.85,44.16,44.19,20859700,-1.58,45.064,
2026-06-18 00:00:00-04:00,NKE,44.41,45.71,44.24,45.2,32320300,1.78,44.912,
2026-06-22 00:00:00-04:00,NKE,44.62,44.91,43.14,43.19,25864500,-3.2,44.564,44.555
2026-06-23 00:00:00-04:00,NKE,42.39,43.19,42.32,42.38,31517900,-0.02,44.0,44.47
2026-06-24 00:00:00-04:00,NKE,42.04,42.33,41.31,41.82,34384300,-0.52,43.356,44.187
2026-06-25 00:00:00-04:00,NKE,41.8,41.86,40.44,40.9,29228300,-2.15,42.698,43.881
